Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Jenjang Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income,no_income
1974,Pengusaha perorangan,167380,kelas 7-8,SMP_1,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1968,Swasta,215839,Diploma,Kuliah,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,60,United-States,2,<=50K,0
2003,Swasta,162667,Sarjana,Sarjana,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Male,0,0,40,Columbia,0,<=50K,0
2004,Swasta,137895,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,45,United-States,2,<=50K,0
1976,Swasta,209460,SMA Grad,SMA Grad,Cerai,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,3,<=50K,0
1986,Swasta,54317,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,60,United-States,3,<=50K,0
1988,Pemerintah negara,147258,Diploma,Kuliah,Cerai,Transportasi dan Pengangkutan,Tidak dalam Keluarga,1,Male,0,0,60,United-States,2,<=50K,0
1967,Swasta,298507,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,3103,0,40,United-States,3,>50K,0
1979,Pemerintah daerah,160472,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,1977,50,United-States,2,>50K,0
1960,Pemerintah daerah,193043,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1995,Swasta,93662,Diploma,Kuliah,Cerai,Spesialis Profesional,Belum Menikah,1,Female,0,0,24,United-States,0,<=50K,0
1982,Pemerintah daerah,99554,Diploma,Kuliah,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1963,Swasta,51170,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,55,United-States,1,<=50K,0
2000,Swasta,176389,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2,<=50K,0
1988,Pengusaha perorangan,233533,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,60,United-States,0,>50K,0
1967,Swasta,426263,Magister,Magister,Cerai,Eksekutif Manager,Belum Menikah,1,Male,0,0,40,United-States,1,>50K,0
1985,Swasta,24342,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0,>50K,0
1976,Pengusaha perorangan,246891,Proffesor,Doktor,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,60,United-States,0,<=50K,0
1983,Swasta,107584,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1981,Pengusaha perorangan,240170,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,50,Germany,2,<=50K,0
1995,Swasta,81648,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,1887,55,United-States,3,>50K,0
1999,Pemerintah daerah,249214,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Belum Menikah,2,Female,0,0,40,United-States,0,<=50K,0
1978,Swasta,695411,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,44,United-States,3,<=50K,0
1990,Swasta,267352,kelas 11,SMA_2,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Male,0,0,30,United-States,0,<=50K,0
1997,Pemerintah pusat,46442,Sarjana,Sarjana,Belum-menikah,Layanan Perlindungan,Tidak dalam Keluarga,1,Female,0,0,35,United-States,0,<=50K,0
1960,Swasta,75577,kelas 7-8,SMP_1,Menikah,Administratif dan Kantor,Suami,1,Male,2580,0,50,United-States,3,<=50K,0
1977,Pengusaha berbadan hukum,116927,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,42,United-States,2,>50K,0
2006,Pengusaha berbadan hukum,157131,SMA Grad,SMA Grad,Belum-menikah,Eksekutif Manager,Punya Anak,1,Female,0,0,12,United-States,0,<=50K,0
1971,Pengusaha perorangan,174102,kelas 7-8,SMP_1,Menikah,Eksekutif Manager,Suami,1,Male,4386,0,50,Greece,3,>50K,0
1983,Pemerintah daerah,176716,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,60,United-States,0,<=50K,0
1995,Swasta,301031,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,2,Male,0,0,40,United-States,2,<=50K,0
1980,Swasta,171424,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,1,>50K,0
1990,Swasta,216864,SMA Grad,SMA Grad,Cerai,Layanan Lainnya,Belum Menikah,1,Female,0,3770,45,United-States,0,<=50K,0
1978,Pemerintah pusat,97863,Asosiasi vokasional,vokasi Grad_2,Menikah,Administratif dan Kantor,Suami,1,Male,5178,0,40,United-States,1,>50K,0
1987,Swasta,305597,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,45,United-States,3,>50K,0
1989,Swasta,255702,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,27,United-States,0,<=50K,0
1990,Swasta,52537,SMA Grad,SMA Grad,Belum-menikah,Transportasi dan Pengangkutan,Belum Menikah,2,Male,0,0,30,United-States,0,<=50K,0
1996,Swasta,161538,Sarjana,Sarjana,Belum-menikah,Dukungan Teknis,Tidak dalam Keluarga,1,Female,0,0,35,United-States,0,<=50K,0
1980,Pemerintah negara,96249,Diploma,Kuliah,Menikah,Eksekutif Manager,Suami,1,Male,3411,0,40,United-States,2,<=50K,0
2003,Swasta,85088,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,37,United-States,0,<=50K,0
1983,Swasta,331651,Proffesor,Doktor,Menikah,Eksekutif Manager,Istri,1,Female,0,0,50,Japan,0,>50K,0
1980,Swasta,182370,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1,<=50K,0
1990,Swasta,258170,SMA Grad,SMA Grad,Cerai,Eksekutif Manager,Belum Menikah,1,Female,0,0,38,United-States,1,<=50K,0
1986,Pengusaha perorangan,108947,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,7688,0,40,United-States,0,>50K,0
1991,Pengusaha perorangan,177828,SMA Grad,SMA Grad,Cerai,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,50,United-States,1,<=50K,0
1978,Swasta,28225,Diploma,Kuliah,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,58,United-States,1,<=50K,0
1965,Pemerintah daerah,93211,Sarjana,Sarjana,Menikah,Eksekutif Manager,Istri,1,Female,0,0,22,United-States,2,>50K,0
1979,Pemerintah daerah,331482,Asosiasi akademik,vokasi Grad_1,Cerai,Dukungan Teknis,Punya Anak,1,Male,0,0,40,United-States,3,<=50K,0
1995,Swasta,174163,Diploma,Kuliah,Cerai,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1967,Swasta,548256,kelas 12,SMA_3,Menikah,Administratif dan Kantor,Suami,2,Male,0,0,40,United-States,1,<=50K,0
1998,Swasta,290286,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,2,Male,0,0,40,United-States,0,<=50K,0
2001,Pengusaha perorangan,184370,SMA Grad,SMA Grad,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,40,United-States,3,<=50K,0
1997,Swasta,161683,kelas 11,SMA_2,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,42,United-States,1,<=50K,0
1991,Swasta,594187,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,45,United-States,2,>50K,0
1986,Swasta,204756,SMA Grad,SMA Grad,Belum-menikah,Sales,Punya Anak,1,Female,0,0,40,United-States,0,<=50K,0
1992,Swasta,169841,Diploma,Kuliah,Cerai,Sales,Tidak dalam Keluarga,1,Female,0,0,55,United-States,3,<=50K,0
1993,Swasta,112062,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1999,Pemerintah negara,257064,Diploma,Kuliah,Menikah,Administratif dan Kantor,Suami,2,Male,0,0,38,United-States,1,<=50K,0
1965,Pemerintah pusat,48102,Magister,Magister,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,>50K,0
1994,Swasta,208668,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,2,Female,0,0,25,United-States,0,<=50K,0
1992,Pemerintah negara,119033,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,2,>50K,0
1985,Swasta,103710,SMA Grad,SMA Grad,Belum-menikah,Sales,Belum Menikah,1,Female,0,0,60,United-States,0,<=50K,0
1978,Swasta,188293,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1982,Pemerintah daerah,159931,Sarjana,Sarjana,Menikah,Spesialis Profesional,Istri,1,Female,0,0,45,United-States,2,>50K,0
1983,Swasta,211731,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,Mexico,0,<=50K,0
1975,Pemerintah pusat,105586,Asosiasi vokasional,vokasi Grad_2,Menikah,Pekerjaan Kerajinan,Suami,3,Male,0,0,40,United-States,1,>50K,0
2005,Swasta,219189,kelas 12,SMA_3,Belum-menikah,Layanan Lainnya,Punya Anak,1,Male,0,0,25,United-States,0,<=50K,0
1999,Swasta,63062,Diploma,Kuliah,Belum-menikah,Pertanian dan Perikanan,Punya Anak,1,Male,0,0,60,United-States,0,<=50K,0
2000,Swasta,24243,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,1590,40,United-States,0,<=50K,0
1983,Pemerintah daerah,343079,Sarjana,Sarjana,Menikah,Spesialis Profesional,Istri,1,Female,0,1740,20,United-States,2,<=50K,0
1966,Swasta,223400,Asosiasi akademik,vokasi Grad_1,Menikah,Pembantu Rumah Tangga,Kerabat,1,Female,0,0,35,Poland,3,<=50K,0
1985,Swasta,138192,Sarjana,Sarjana,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2,>50K,0
1977,Pemerintah negara,148171,Doktor,Proffesor,Cerai,Spesialis Profesional,Belum Menikah,1,Male,0,0,50,France,1,>50K,0
1995,Swasta,184078,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Kerabat,1,Female,0,0,40,United-States,0,<=50K,0
1988,Swasta,193026,Sarjana,Sarjana,Menikah,Sales,Suami,1,Male,0,0,40,United-States,3,>50K,0
1974,Swasta,180522,Diploma,Kuliah,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,38,United-States,0,<=50K,0
1999,Pengusaha perorangan,217030,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,30,United-States,0,<=50K,0
2004,Swasta,85041,Diploma,Kuliah,Belum-menikah,Eksekutif Manager,Punya Anak,1,Female,0,0,20,United-States,0,<=50K,0
1983,Swasta,118212,Sarjana,Sarjana,Menikah,Pekerjaan Kerajinan,Suami,1,Male,3103,0,40,United-States,0,>50K,0
1988,Swasta,76417,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,52,United-States,1,<=50K,0
1959,Pengusaha berbadan hukum,210381,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,99999,0,65,United-States,3,>50K,0
1989,Swasta,207066,Sarjana,Sarjana,Belum-menikah,Sales,Tidak dalam Keluarga,1,Male,10520,0,45,United-States,0,>50K,0
1971,Pengusaha perorangan,98829,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,50,United-States,0,<=50K,0
1975,Swasta,122066,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,30,Hungary,0,<=50K,0
1981,Swasta,133584,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,1,<=50K,0
1966,Pengusaha berbadan hukum,181974,Doktor,Proffesor,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,99,United-States,0,<=50K,0
1997,Swasta,217200,Diploma,Kuliah,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
1967,Pengusaha perorangan,327901,kelas 10,SMA_1,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1,<=50K,0
2000,Swasta,182342,Sarjana,Sarjana,Belum-menikah,Sales,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1989,Swasta,119006,SMA Grad,SMA Grad,Duda/Janda,Sales,Punya Anak,1,Female,0,0,38,United-States,3,<=50K,0
1981,Swasta,183765,Diploma,Kuliah,Cerai,Dukungan Teknis,Tidak dalam Keluarga,1,Male,0,0,40,United-States,2,>50K,0
1990,Pengusaha berbadan hukum,314375,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,60,United-States,2,>50K,0
1961,Pengusaha perorangan,404547,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,30,United-States,0,<=50K,0
1964,Pengusaha perorangan,191024,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1,<=50K,0
1994,Pengusaha perorangan,203834,Sarjana,Sarjana,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,3,Female,0,0,50,Taiwan,0,<=50K,0
2006,Swasta,238867,kelas 11,SMA_2,Belum-menikah,Pengelola Kebersihan,Punya Anak,1,Male,0,1602,40,United-States,0,<=50K,0
1960,Pengusaha perorangan,289741,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,20,United-States,1,<=50K,0
1987,Swasta,380614,Asosiasi akademik,vokasi Grad_1,Menikah,Spesialis Profesional,Istri,1,Female,0,0,13,United-States,3,>50K,0
1959,Swasta,117162,Asosiasi vokasional,vokasi Grad_2,Menikah,Spesialis Profesional,Istri,1,Female,0,0,56,United-States,3,>50K,0
1983,Pengusaha berbadan hukum,299813,kelas 9,SMP_2,Menikah,Sales,Istri,1,Female,0,0,70,Dominican-Republic,3,<=50K,0
1985,Pemerintah daerah,352628,Asosiasi akademik,vokasi Grad_1,Menikah,Pekerjaan Kerajinan,Istri,1,Female,0,0,50,United-States,1,>50K,0
1972,Swasta,163678,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,55,United-States,2,<=50K,0
1972,Pengusaha perorangan,195462,SMA Grad,SMA Grad,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,98,United-States,1,>50K,0
