Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income,no_income,in_relationship,income_monthly,Kelas Penghasilan,Age
2004,Swasta,223811,SMA Grad,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0.0,0,0,0,0,Low,20
1964,Pengusaha berbadan hukum,93272,SMP,Menikah,Sales,Suami,1,Male,0,0,60,United-States,3.0,0,0,1,0,Low,60
1990,Swasta,314646,SMP,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3.0,0,0,1,0,Low,34
1971,Swasta,355802,Diploma,Belum-menikah,Sales,Belum Menikah,1,Female,0,0,30,United-States,0.0,0,0,0,0,Low,53
1985,Swasta,306646,Diploma,Menikah,Sales,Suami,1,Male,3103,0,50,United-States,2.0,1,0,1,12412,Low,39
1987,Swasta,234901,Diploma,Menikah,Sales,Suami,1,Male,0,0,50,Germany,3.0,1,0,1,0,Low,37
1968,Sektor Pemerintah,370045,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,3.0,1,0,1,0,Low,56
1993,Sektor Pemerintah,101345,SMA Grad,Belum-menikah,Pengelola Kebersihan,Punya Anak,1,Female,0,0,40,United-States,1.0,0,0,0,0,Low,31
1996,Sektor Pemerintah,154863,SMP,Menikah,Pekerjaan Kerajinan,Suami,2,Male,0,0,40,Trinadad&Tobago,3.0,1,0,1,0,Low,28
1971,Swasta,79324,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3.0,1,0,1,0,Low,53
1989,Swasta,156728,SMA Grad,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,40,United-States,0.0,0,0,1,0,Low,35
1988,Swasta,94954,Asosiasi vokasional,Duda/Janda,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,20,United-States,1.0,0,0,0,0,Low,36
1999,Swasta,469697,Diploma,Menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,40,United-States,2.0,0,0,1,0,Low,25
1981,Pengusaha berbadan hukum,151089,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,50,United-States,0.0,0,0,1,0,Low,43
1977,Swasta,105381,SMA Grad,Belum-menikah,Sales,Tidak dalam Keluarga,1,Female,0,0,40,United-States,2.0,0,0,0,0,Low,47
1987,Swasta,348796,Sarjana,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,37
1977,Swasta,187969,SMA,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,38,United-States,1.0,0,0,0,0,Low,47
1986,Swasta,607848,Sarjana,Menikah,Sales,Suami,1,Male,0,0,40,United-States,2.0,1,0,1,0,Low,38
1999,Sektor Pemerintah,77698,Diploma,Belum-menikah,Administratif dan Kantor,Belum Menikah,2,Female,0,0,40,United-States,0.0,0,0,0,0,Low,25
1988,Swasta,405155,SD,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,Mexico,0.0,0,0,1,0,Low,36
1999,Swasta,251915,Sarjana,Belum-menikah,Sales,Punya Anak,1,Female,0,0,40,United-States,1.0,0,0,0,0,Low,25
1969,Sektor Pemerintah,26290,Asosiasi vokasional,Duda/Janda,Eksekutif Manager,Tidak dalam Keluarga,4,Female,0,0,38,United-States,0.0,0,0,0,0,Low,55
2004,Swasta,188300,Diploma,Belum-menikah,Dukungan Teknis,Punya Anak,1,Female,0,0,40,United-States,1.0,0,0,0,0,Low,20
1994,Pengusaha perorangan,523095,Diploma,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,45,United-States,0.0,0,0,0,0,Low,30
1992,Swasta,154087,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,1.0,0,0,1,0,Low,32
1967,Swasta,49893,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,60,United-States,1.0,1,0,1,0,Low,57
2004,Swasta,528616,SD,Belum-menikah,Layanan Lainnya,Kerabat,1,Male,0,0,40,Mexico,0.0,0,0,0,0,Low,20
1999,Swasta,344719,SMA Grad,Menikah,Spesialis Profesional,Istri,1,Female,0,0,4,United-States,2.0,0,0,1,0,Low,25
1994,Swasta,329425,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2.0,0,0,1,0,Low,30
2005,Swasta,187352,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3.0,0,0,1,0,Low,19
2005,Swasta,279968,Diploma,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,20,United-States,1.0,0,0,0,0,Low,19
1990,Swasta,155151,Diploma,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1.0,1,0,1,0,Low,34
1997,Swasta,195337,Diploma,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,27
1992,Swasta,184440,Diploma,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,3464,0,40,United-States,2.0,0,0,1,13856,Low,32
1974,Swasta,35224,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3.0,0,0,1,0,Low,50
1991,Pengusaha perorangan,167476,SMA,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,7,United-States,2.0,0,0,0,0,Low,33
1980,Swasta,71269,Diploma,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Male,0,0,50,United-States,0.0,0,0,0,0,Low,44
1984,Sektor Pemerintah,27444,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,50,United-States,0.0,1,0,0,0,Low,40
1992,Swasta,147284,Asosiasi vokasional,Menikah,Sales,Suami,1,Male,0,0,50,United-States,0.0,1,0,1,0,Low,32
1988,Swasta,297449,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,14084,0,40,United-States,2.0,1,0,0,56336,Low,36
2004,Swasta,303565,Diploma,Belum-menikah,Pengelola Kebersihan,Punya Anak,2,Male,0,0,40,Germany,1.0,0,0,0,0,Low,20
1996,Swasta,96020,Sarjana,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,28
1992,Pengusaha perorangan,84119,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,45,United-States,2.0,0,0,1,0,Low,32
1942,Pengusaha berbadan hukum,130329,SMP,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,50,United-States,0.0,0,0,1,0,Low,82
1991,Swasta,199227,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,55,United-States,3.0,1,0,1,0,Low,33
1981,Swasta,75742,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,2.0,0,0,1,0,Low,43
1981,Swasta,177905,SMA Grad,Menikah,Pengelola Kebersihan,Suami,1,Male,3908,0,40,United-States,0.0,0,0,1,15632,Low,43
2000,Swasta,278155,Diploma,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,30,United-States,0.0,0,0,0,0,Low,24
1991,Pengusaha perorangan,235271,Sarjana,Belum-menikah,Sales,Tidak dalam Keluarga,1,Male,0,0,50,United-States,2.0,1,0,0,0,Low,33
1946,Swasta,165694,Magister,Duda/Janda,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,15,United-States,1.0,0,0,0,0,Low,78
1999,Swasta,234665,Asosiasi vokasional,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,45,United-States,1.0,0,0,1,0,Low,25
1979,Swasta,114459,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,50,United-States,1.0,1,0,1,0,Low,45
1993,Swasta,131568,SMP,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0.0,0,0,0,0,Low,31
2005,Swasta,308064,SMA Grad,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,2,Female,0,0,40,United-States,0.0,0,0,0,0,Low,19
1974,Pengusaha perorangan,167380,SMP,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,40,United-States,0.0,0,0,1,0,Low,50
1968,Swasta,215839,Diploma,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,60,United-States,2.0,0,0,1,0,Low,56
2003,Swasta,162667,Sarjana,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Male,0,0,40,Columbia,0.0,0,0,0,0,Low,21
2004,Swasta,137895,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,45,United-States,2.0,0,0,1,0,Low,20
1976,Swasta,209460,SMA Grad,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,3.0,0,0,0,0,Low,48
1986,Swasta,54317,Diploma,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,60,United-States,3.0,0,0,1,0,Low,38
1988,Sektor Pemerintah,147258,Diploma,Belum-menikah,Transportasi dan Pengangkutan,Tidak dalam Keluarga,1,Male,0,0,60,United-States,2.0,0,0,0,0,Low,36
1967,Swasta,298507,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,3103,0,40,United-States,3.0,1,0,1,12412,Low,57
1979,Sektor Pemerintah,160472,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,1977,50,United-States,2.0,1,0,1,0,Low,45
1960,Swasta,193043,SMA Grad,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0.0,0,0,1,0,Low,64
1995,Swasta,93662,Diploma,Belum-menikah,Spesialis Profesional,Belum Menikah,1,Female,0,0,24,United-States,0.0,0,0,0,0,Low,29
1982,Sektor Pemerintah,99554,Diploma,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,0.0,0,0,1,0,Low,42
1963,Swasta,51170,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,55,United-States,1.0,0,0,1,0,Low,61
2000,Swasta,176389,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2.0,0,0,1,0,Low,24
1988,Pengusaha perorangan,233533,Diploma,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,60,United-States,0.0,1,0,1,0,Low,36
1967,Swasta,426263,Magister,Belum-menikah,Eksekutif Manager,Belum Menikah,1,Male,0,0,40,United-States,1.0,1,0,0,0,Low,57
1985,Swasta,24342,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0.0,1,0,1,0,Low,39
1976,Pengusaha perorangan,246891,Proffesor,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,60,United-States,0.0,0,0,1,0,Low,48
1983,Swasta,107584,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,0.0,0,0,1,0,Low,41
1981,Pengusaha perorangan,240170,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,50,Germany,2.0,0,0,1,0,Low,43
1995,Swasta,81648,SMA Grad,Menikah,Sales,Suami,1,Male,0,1887,55,United-States,3.0,1,0,1,0,Low,29
1999,Sektor Pemerintah,249214,Diploma,Belum-menikah,Administratif dan Kantor,Belum Menikah,2,Female,0,0,40,United-States,0.0,0,0,0,0,Low,25
1978,Swasta,695411,SMA Grad,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,44,United-States,3.0,0,0,0,0,Low,46
1990,Swasta,267352,SMA,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,30,United-States,0.0,0,0,0,0,Low,34
1997,Sektor Pemerintah,46442,Sarjana,Belum-menikah,Layanan Perlindungan,Tidak dalam Keluarga,1,Female,0,0,35,United-States,0.0,0,0,0,0,Low,27
1960,Swasta,75577,SMP,Menikah,Administratif dan Kantor,Suami,1,Male,2580,0,50,United-States,3.0,0,0,1,10320,Low,64
1977,Pengusaha berbadan hukum,116927,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,42,United-States,2.0,1,0,1,0,Low,47
2006,Swasta,157131,SMA Grad,Belum-menikah,Spesialis Profesional,Punya Anak,1,Female,0,0,12,United-States,1.0,0,0,0,0,Low,18
1971,Pengusaha perorangan,174102,SMP,Menikah,Eksekutif Manager,Suami,1,Male,4386,0,50,Greece,3.0,1,0,1,17544,Low,53
1983,Sektor Pemerintah,176716,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,60,United-States,0.0,0,0,1,0,Low,41
1995,Swasta,301031,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,2,Male,0,0,40,United-States,2.0,0,0,1,0,Low,29
1980,Swasta,171424,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,1.0,1,0,1,0,Low,44
1990,Swasta,216864,SMA Grad,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,3770,45,United-States,0.0,0,0,0,0,Low,34
1978,Sektor Pemerintah,97863,Asosiasi vokasional,Menikah,Administratif dan Kantor,Suami,1,Male,5178,0,40,United-States,1.0,1,0,1,20712,Low,46
1987,Swasta,305597,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,45,United-States,3.0,1,0,1,0,Low,37
1989,Swasta,255702,SMA Grad,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,27,United-States,1.0,0,0,0,0,Low,35
1990,Swasta,52537,SMA Grad,Belum-menikah,Transportasi dan Pengangkutan,Belum Menikah,2,Male,0,0,30,United-States,0.0,0,0,0,0,Low,34
1996,Swasta,161538,Sarjana,Belum-menikah,Dukungan Teknis,Tidak dalam Keluarga,1,Female,0,0,35,United-States,0.0,0,0,0,0,Low,28
1980,Sektor Pemerintah,96249,Diploma,Menikah,Eksekutif Manager,Suami,1,Male,3411,0,40,United-States,2.0,0,0,1,13644,Low,44
2003,Swasta,85088,Diploma,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,37,United-States,1.0,0,0,0,0,Low,21
1983,Swasta,331651,Proffesor,Menikah,Eksekutif Manager,Istri,1,Female,0,0,50,Japan,0.0,1,0,1,0,Low,41
1980,Swasta,182370,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1.0,0,0,1,0,Low,44
1990,Swasta,258170,SMA Grad,Belum-menikah,Eksekutif Manager,Belum Menikah,1,Female,0,0,38,United-States,1.0,0,0,0,0,Low,34
1986,Pengusaha perorangan,108947,Diploma,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,7688,0,40,United-States,0.0,1,0,1,30752,Low,38
1991,Pengusaha perorangan,177828,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,50,United-States,1.0,0,0,0,0,Low,33
1978,Swasta,28225,Diploma,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,58,United-States,1.0,0,0,1,0,Low,46
1965,Sektor Pemerintah,93211,Sarjana,Menikah,Eksekutif Manager,Istri,1,Female,0,0,22,United-States,2.0,1,0,1,0,Low,59
1979,Sektor Pemerintah,331482,Asosiasi akademik,Cerai,Dukungan Teknis,Punya Anak,1,Male,0,0,40,United-States,3.0,0,0,0,0,Low,45
1995,Swasta,174163,Diploma,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,29
1967,Swasta,548256,SMA,Menikah,Administratif dan Kantor,Suami,2,Male,0,0,40,United-States,1.0,0,0,1,0,Low,57
1998,Swasta,290286,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,2,Male,0,0,40,United-States,0.0,0,0,0,0,Low,26
2001,Pengusaha perorangan,184370,SMA Grad,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,40,United-States,3.0,0,0,0,0,Low,23
1997,Swasta,161683,SMA,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,42,United-States,1.0,0,0,1,0,Low,27
1991,Swasta,594187,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,45,United-States,2.0,1,0,1,0,Low,33
1986,Swasta,204756,SMA Grad,Belum-menikah,Sales,Punya Anak,1,Female,0,0,40,United-States,1.0,0,0,0,0,Low,38
1992,Swasta,169841,Diploma,Belum-menikah,Sales,Tidak dalam Keluarga,1,Female,0,0,55,United-States,3.0,0,0,0,0,Low,32
1993,Swasta,112062,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,31
1999,Sektor Pemerintah,257064,Diploma,Menikah,Administratif dan Kantor,Suami,2,Male,0,0,38,United-States,1.0,0,0,1,0,Low,25
1965,Sektor Pemerintah,48102,Magister,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,1,0,0,0,Low,59
1994,Swasta,208668,Asosiasi akademik,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,2,Female,0,0,25,United-States,0.0,0,0,0,0,Low,30
1992,Sektor Pemerintah,119033,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,2.0,1,0,1,0,Low,32
1985,Swasta,103710,SMA Grad,Belum-menikah,Sales,Belum Menikah,1,Female,0,0,60,United-States,0.0,0,0,0,0,Low,39
1978,Swasta,188293,SMA Grad,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,46
1982,Sektor Pemerintah,159931,Sarjana,Menikah,Spesialis Profesional,Istri,1,Female,0,0,45,United-States,2.0,1,0,1,0,Low,42
1983,Swasta,211731,Diploma,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,Mexico,0.0,0,0,0,0,Low,41
1975,Sektor Pemerintah,105586,Asosiasi vokasional,Menikah,Pekerjaan Kerajinan,Suami,3,Male,0,0,40,United-States,1.0,1,0,1,0,Low,49
2005,Swasta,219189,SMA,Belum-menikah,Layanan Lainnya,Punya Anak,1,Male,0,0,25,United-States,1.0,0,0,0,0,Low,19
1999,Swasta,63062,Diploma,Belum-menikah,Pertanian dan Perikanan,Punya Anak,1,Male,0,0,60,United-States,1.0,0,0,0,0,Low,25
2000,Swasta,24243,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,1590,40,United-States,0.0,0,0,0,0,Low,24
1983,Sektor Pemerintah,343079,Sarjana,Menikah,Spesialis Profesional,Istri,1,Female,0,1740,20,United-States,2.0,0,0,1,0,Low,41
1966,Swasta,223400,Asosiasi akademik,Menikah,Pembantu Rumah Tangga,Kerabat,1,Female,0,0,35,Poland,3.0,0,0,1,0,Low,58
1985,Swasta,138192,Sarjana,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2.0,1,0,1,0,Low,39
1977,Sektor Pemerintah,148171,Doktor,Belum-menikah,Spesialis Profesional,Belum Menikah,1,Male,0,0,50,France,1.0,1,0,0,0,Low,47
1995,Swasta,184078,SMA Grad,Belum-menikah,Layanan Lainnya,Kerabat,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,29
1988,Swasta,193026,Sarjana,Menikah,Sales,Suami,1,Male,0,0,40,United-States,3.0,1,0,1,0,Low,36
1974,Swasta,180522,Diploma,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,38,United-States,0.0,0,0,0,0,Low,50
1999,Pengusaha perorangan,217030,SMA Grad,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,30,United-States,0.0,0,0,0,0,Low,25
2004,Swasta,85041,Diploma,Belum-menikah,Eksekutif Manager,Punya Anak,1,Female,0,0,20,United-States,1.0,0,0,0,0,Low,20
1983,Swasta,118212,Sarjana,Menikah,Pekerjaan Kerajinan,Suami,1,Male,3103,0,40,United-States,0.0,1,0,1,12412,Low,41
1988,Swasta,76417,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,52,United-States,1.0,0,0,1,0,Low,36
1959,Pengusaha berbadan hukum,210381,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,99999,0,65,United-States,3.0,1,0,1,399996,Medium,65
1989,Swasta,207066,Sarjana,Belum-menikah,Sales,Tidak dalam Keluarga,1,Male,10520,0,45,United-States,0.0,1,0,0,42080,Low,35
1971,Pengusaha perorangan,98829,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,50,United-States,0.0,0,0,1,0,Low,53
1975,Swasta,122066,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,30,Hungary,0.0,0,0,1,0,Low,49
1981,Swasta,133584,Diploma,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,1.0,0,0,1,0,Low,43
1966,Pengusaha berbadan hukum,181974,Doktor,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,99,United-States,0.0,0,0,0,0,Low,58
1997,Swasta,217200,Diploma,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0.0,0,0,0,0,Low,27
1967,Pengusaha perorangan,327901,SMA,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1.0,0,0,1,0,Low,57
2000,Swasta,182342,Sarjana,Belum-menikah,Sales,Punya Anak,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,24
1989,Swasta,119006,SMA Grad,Duda/Janda,Spesialis Profesional,Punya Anak,1,Female,0,0,38,United-States,3.0,0,0,0,0,Low,35
1981,Swasta,183765,Diploma,Belum-menikah,Dukungan Teknis,Tidak dalam Keluarga,1,Male,0,0,40,United-States,2.0,1,0,0,0,Low,43
1990,Pengusaha berbadan hukum,314375,Diploma,Menikah,Sales,Suami,1,Male,0,0,60,United-States,2.0,1,0,1,0,Low,34
1961,Pengusaha perorangan,404547,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,30,United-States,0.0,0,0,1,0,Low,63
1964,Swasta,191024,SMA Grad,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,1.0,0,0,1,0,Low,60
1994,Swasta,203834,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,3,Female,0,0,50,Taiwan,0.0,0,0,0,0,Low,30
2006,Swasta,238867,SMA,Belum-menikah,Pengelola Kebersihan,Punya Anak,1,Male,0,1602,40,United-States,1.0,0,0,0,0,Low,18
1960,Pengusaha perorangan,289741,Diploma,Menikah,Sales,Suami,1,Male,0,0,20,United-States,1.0,0,0,1,0,Low,64
1987,Swasta,380614,Asosiasi akademik,Menikah,Spesialis Profesional,Istri,1,Female,0,0,13,United-States,3.0,1,0,1,0,Low,37
